State,Month,MonthNum,Accidents
Coimbatore,October,10,105
Coimbatore,November,11,88
Coimbatore,December,12,80
Delhi (City),January,1,426
Delhi (City),February,2,433
Delhi (City),March,3,425
Delhi (City),April,4,460
Delhi (City),May,5,488
Delhi (City),June,6,455
Delhi (City),July,7,463
Delhi (City),August,8,523
Delhi (City),September,9,496
Delhi (City),October,10,548
Delhi (City),November,11,476
Delhi (City),December,12,522
Dhanbad,January,1,17
Dhanbad,February,2,16
Dhanbad,March,3,18
Dhanbad,April,4,14
Dhanbad,May,5,16
Dhanbad,June,6,22
Dhanbad,July,7,17
Dhanbad,August,8,15
Dhanbad,September,9,11
Dhanbad,October,10,12
Dhanbad,November,11,13
Dhanbad,December,12,24
Durg Bhilainagar,January,1,96
Durg Bhilainagar,February,2,55
Durg Bhilainagar,March,3,56
Durg Bhilainagar,April,4,52
Durg Bhilainagar,May,5,65
Durg Bhilainagar,June,6,62
Durg Bhilainagar,July,7,72
Durg Bhilainagar,August,8,62
Durg Bhilainagar,September,9,72
Durg Bhilainagar,October,10,76
Durg Bhilainagar,November,11,64
Durg Bhilainagar,December,12,55
Faridabad,January,1,53
Faridabad,February,2,61
Faridabad,March,3,57
Faridabad,April,4,47
Faridabad,May,5,59
Faridabad,June,6,55
Faridabad,July,7,51
Faridabad,August,8,38
Faridabad,September,9,59
Faridabad,October,10,53
Faridabad,November,11,44
Faridabad,December,12,59
Ghaziabad,January,1,89
Ghaziabad,February,2,79
Ghaziabad,March,3,81
Ghaziabad,April,4,65
Ghaziabad,May,5,71
Ghaziabad,June,6,69
Ghaziabad,July,7,71
Ghaziabad,August,8,62
Ghaziabad,September,9,69
Ghaziabad,October,10,62
Ghaziabad,November,11,91
Ghaziabad,December,12,84
Gwalior,January,1,99
Gwalior,February,2,85
Gwalior,March,3,119
Gwalior,April,4,116
Gwalior,May,5,92
Gwalior,June,6,91
Gwalior,July,7,101
Gwalior,August,8,78
Gwalior,September,9,116
Gwalior,October,10,116
Gwalior,November,11,108
Gwalior,December,12,109
Hyderabad,January,1,224
Hyderabad,February,2,208
Hyderabad,March,3,190
Hyderabad,April,4,214
Hyderabad,May,5,211
Hyderabad,June,6,243
Hyderabad,July,7,264
Hyderabad,August,8,246
Hyderabad,September,9,259
Hyderabad,October,10,277
Hyderabad,November,11,309
Hyderabad,December,12,298
Indore,January,1,289
Indore,February,2,270
Indore,March,3,312
Indore,April,4,279
Indore,May,5,313
Indore,June,6,303
Indore,July,7,309
Indore,August,8,311
Indore,September,9,262
Indore,October,10,341
Indore,November,11,288
Indore,December,12,289
Jabalpur,January,1,191
Jabalpur,February,2,237
Jabalpur,March,3,197
Jabalpur,April,4,172
Jabalpur,May,5,173
Jabalpur,June,6,186
Jabalpur,July,7,191
Jabalpur,August,8,198
Jabalpur,September,9,197
Jabalpur,October,10,194
Jabalpur,November,11,196
Jabalpur,December,12,187
Jaipur,January,1,248
Jaipur,February,2,211
Jaipur,March,3,219
Jaipur,April,4,253
Jaipur,May,5,250
Jaipur,June,6,237
Jaipur,July,7,239
Jaipur,August,8,260
Jaipur,September,9,267
Jaipur,October,10,272
Jaipur,November,11,243
Jaipur,December,12,215
Jamshedpur,January,1,12
Jamshedpur,February,2,17
Jamshedpur,March,3,12
Jamshedpur,April,4,10
Jamshedpur,May,5,17
Jamshedpur,June,6,10
Jamshedpur,July,7,11
Jamshedpur,August,8,12
Jamshedpur,September,9,12
Jamshedpur,October,10,13
Jamshedpur,November,11,14
Jamshedpur,December,12,15
Jodhpur,January,1,62
Jodhpur,February,2,61
Jodhpur,March,3,58
Jodhpur,April,4,59
Jodhpur,May,5,59
Jodhpur,June,6,52
Jodhpur,July,7,75
Jodhpur,August,8,52
Jodhpur,September,9,69
Jodhpur,October,10,57
Jodhpur,November,11,43
Jodhpur,December,12,39
Kannur,January,1,146
Kannur,February,2,129
Kannur,March,3,145
Kannur,April,4,156
Kannur,May,5,143
Kannur,June,6,117
Kannur,July,7,98
Kannur,August,8,119
Kannur,September,9,110
Kannur,October,10,127
Kannur,November,11,122
Kannur,December,12,119
Kanpur,January,1,295
Kanpur,February,2,198
Kanpur,March,3,121
Kanpur,April,4,101
Kanpur,May,5,96
Kanpur,June,6,95
Kanpur,July,7,98
Kanpur,August,8,65
Kanpur,September,9,84
Kanpur,October,10,95
Kanpur,November,11,165
Kanpur,December,12,210
Kochi,January,1,244
Kochi,February,2,202
Kochi,March,3,201
Kochi,April,4,179
Kochi,May,5,228
Kochi,June,6,224
Kochi,July,7,185
Kochi,August,8,217
Kochi,September,9,235
Kochi,October,10,212
Kochi,November,11,236
Kochi,December,12,222
Kolkata,January,1,98
Kolkata,February,2,94
Kolkata,March,3,96
Kolkata,April,4,97
Kolkata,May,5,89
Kolkata,June,6,88
Kolkata,July,7,91
Kolkata,August,8,98
Kolkata,September,9,87
Kolkata,October,10,99
Kolkata,November,11,96
Kolkata,December,12,96
Kollam,January,1,177
Kollam,February,2,181
Kollam,March,3,210
Kollam,April,4,180
Kollam,May,5,173
Kollam,June,6,184
Kollam,July,7,170
Kollam,August,8,193
Kollam,September,9,172
Kollam,October,10,144
Kollam,November,11,169
Kollam,December,12,143
Kota,January,1,62
Kota,February,2,44
Kota,March,3,52
Kota,April,4,38
Kota,May,5,56
Kota,June,6,56
Kota,July,7,50
Kota,August,8,64
Kota,September,9,47
Kota,October,10,50
Kota,November,11,37
Kota,December,12,36
Kozhikode,January,1,191
Kozhikode,February,2,181
Kozhikode,March,3,190
Kozhikode,April,4,156
Kozhikode,May,5,168
Kozhikode,June,6,158
Kozhikode,July,7,137
Kozhikode,August,8,156
Kozhikode,September,9,160
Kozhikode,October,10,170
Kozhikode,November,11,184
Kozhikode,December,12,175
Lucknow,January,1,95
Lucknow,February,2,93
Lucknow,March,3,89
Lucknow,April,4,88
Lucknow,May,5,97
Lucknow,June,6,95
Lucknow,July,7,114
Lucknow,August,8,120
Lucknow,September,9,109
Lucknow,October,10,120
Lucknow,November,11,85
Lucknow,December,12,95
Ludhiana,January,1,42
Ludhiana,February,2,35
Ludhiana,March,3,43
Ludhiana,April,4,39
Ludhiana,May,5,49
Ludhiana,June,6,51
Ludhiana,July,7,41
Ludhiana,August,8,36
Ludhiana,September,9,37
Ludhiana,October,10,51
Ludhiana,November,11,38
Ludhiana,December,12,42
Madurai,January,1,61
Madurai,February,2,68
Madurai,March,3,71
Madurai,April,4,64
Madurai,May,5,48
Madurai,June,6,54
Madurai,July,7,62
Madurai,August,8,79
Madurai,September,9,60
Madurai,October,10,62
Madurai,November,11,78
Madurai,December,12,61
Malappuram,January,1,87
Malappuram,February,2,84
Malappuram,March,3,81
Malappuram,April,4,73
Malappuram,May,5,81
Malappuram,June,6,73
Malappuram,July,7,74
Malappuram,August,8,78
Malappuram,September,9,81
Malappuram,October,10,73
Malappuram,November,11,92
Malappuram,December,12,78
Meerut,January,1,38
Meerut,February,2,24
Meerut,March,3,46
Meerut,April,4,41
Meerut,May,5,43
Meerut,June,6,28
Meerut,July,7,27
Meerut,August,8,32
Meerut,September,9,46
Meerut,October,10,71
Meerut,November,11,34
Meerut,December,12,42
Mumbai,January,1,39
Mumbai,February,2,46
Mumbai,March,3,43
Mumbai,April,4,31
Mumbai,May,5,32
Mumbai,June,6,37
Mumbai,July,7,35
Mumbai,August,8,25
Mumbai,September,9,30
Mumbai,October,10,32
Mumbai,November,11,35
Mumbai,December,12,29
Nagpur,January,1,86
Nagpur,February,2,94
Nagpur,March,3,119
Nagpur,April,4,88
Nagpur,May,5,87
Nagpur,June,6,108
Nagpur,July,7,91
Nagpur,August,8,124
Nagpur,September,9,113
Nagpur,October,10,104
Nagpur,November,11,96
Nagpur,December,12,103
Nasik,January,1,18
Nasik,February,2,21
Nasik,March,3,20
Nasik,April,4,16
Nasik,May,5,14
Nasik,June,6,19
